,31/03/2023,31/03/2022,31/03/2021,
"Property, plant and equipment","(A) 90,422.42","(B) 93,484.4","96,287.55",
Other intangible assets,760.65,806.03,855.73,
Non-current investments,"44,138.9","43,401.43",,
"Loans, non-current","32,779.08","30,195.27",,
Total non-current financial assets,"79,584.74","74,941.72",,
Total non-current assets,"1,99,841.9","1,90,696.65",,
Inventories,"20,795.56","19,942.94",,
Current investments,"2,050.4",96.11,,
"Trade receivables, current","3,351.72","3,280.3",,
Cash and cash equivalents,858.98,"2,671.59",,
"Loans, current","3,191.21","2,368.01",,
Total current financial assets,"10,513.83","9,407.55",,
Total current assets,"33,949.52","31,289.57",,
Total assets,"2,33,791.42","2,21,986.22",,
Equity share capital,"1,222.4","1,222.37","1,198.78",
Other equity,"1,33,575.11","1,24,211.39",,
Total equity,"1,34,797.51","1,25,433.76",,
"Borrowings, non-current","30,880.89","20,290.81",,
Total non-current financial liabilities,"35,459.03","24,911.12",,
"Provisions, non-current","2,555.25","2,685",,
Total non-current liabilities,"52,556.61","42,887.63",,
"Borrowings, current","7,298.12","11,984.66",,
"Trade payables, current","(M) 18,082.4","(N) 21,091.14",,
Total current financial liabilities,"31,796.3","38,816.96",,
"Provisions, current","1,080.94","1,082.42",,
Total current liabilities,"46,437.3","53,664.83",,
Total equity and liabilities,"2,33,791.42","2,21,986.22",,
"Property, plant and equipment","84,942.31",,,
"Property, plant and equipment","87,946.22",,,
